Title,Summary,Company,Location,Salary
Principal Data Scientist I,"Alternatively, the principle data scientist may have little or no scientific expertise in that particular domain but bring an extremely advanced set of skills...",Roche,"San Jose, CA",Not available
Senior Data Scientist,"Well versed in areas such as applied statistics, machine learning, data mining and data algorithms. Provide technical leadership in statistical analysis, data...",Hagerty,"Traverse City, MI",Not available
Senior Data Scientist,"Hands-on experience with statistical analysis and data mining tools, such as R, Python, Scala, etc. Deep knowledge and experience in statistical and machine...",Autonomous Pharmacy,"Mountain View, CA",Not available
Junior Level Scientist,"A competitive salary, bonus program, and excellent benefits, including health insurance (medical, dental, vision, and long-term disability);...",Anchor Env,"Woodcliff Lake, NJ",Not available
Data Scientist,"Work with management and organizational peers to improve business results, by applying machine learning to ongoing business activities, and develop...",Conde Nast,"New York, NY 10007 (Financial District area)",Not available
"Associate Scientist, Analytical Data Science","Associate Scientist – Analytical Chemistry and Data Science, R&D*. Create custom data models and algorithms to apply to data sets....",Firmenich Inc.,"Township of Plainsboro, NJ",Not available
Machine Learning Data Scientist,"Knowledge of quantitative methods - statistics, machine learning, deep learning, NLP, general data analysis....",Wayfair,"Boston, MA 02116 (South End area)",Not available
Associate Data Scientist,At least 1 year relevant work experience working in Python or R with a primary focus of applying predictive analytics to large data sets (i.e....,Brown-Forman,"Louisville, KY 40216",Not available
Data Scientist,"Answer complex business questions by using appropriate statistical or machine learning techniques on available data, or designing and running experiments to...",Mondo,"New York, NY",Not available
"Senior Manager, Information & Analytics","The I&A In-Market team is composed of business interpreters, data scientists, and data experts who can:. This is an exciting new role in the Data Science and...",Unilever,"Englewood Cliffs, NJ",Not available
Data Scientist - Entry,"Data Scientists combine technical skills, teamwork, communication, business logic, and software knowledge to extract meaningful information from the company’s...",Equifax,"Las Vegas, NV 89119",Not available
Delivery Data Scientist,"The Microsoft Services Americas Data and Artificial Intelligence business is looking for Architects / Data Scientists with Data/Advanced Analytics, Artificial...",Microsoft,United States,Not available
Signal processing and data scientist,"$120,000 - $150,000 a year


                            SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct...",GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","$120,000 - $150,000 a year"
Data Scientist,"The Data Scientist is responsible for applying advanced analytics to provide accurate, relevant, and actionable insights that enable Verra Mobility to make...",Verra Mobility,"Mesa, AZ",Not available
Junior Data Scientist,"So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits...",UnitedHealth Group,"Santa Ana, CA 92725",Not available
DBHi Data Scientist I,"The Data Coordinating Center’s focus is on developing informatics methods to standardize health data from diverse sources, and make intelligent use of the data...",Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",Not available
Data Scientist,"MS/ PhD in fields like computer science, mathematics, statistics, machine learning, operations research, data mining, AI....",Microsoft,"Redmond, WA",Not available
Data Scientist Internship - Summer 2019,"They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various...",IBM,United States,Not available
"Internship – R&D Data Scientist Graduate Intern (Maplewood,...","Experience in machine learning, deep learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics....",3M,"Maplewood, MN",Not available
Data Scientist (Informatics Service Operations),The Cigna Service Operations Business Intelligence & Analytics (SOBI&A) organization offers solutions that provide actionable insights to internal and external...,Cigna,United States,Not available
Data Scientist,"Responsibilities-Work with stakeholders, identifying opportunities for leveraging data to solve for business challenges.-Identify valuable data sources / data...",Morgan Stanley,"New York, NY",Not available
Junior Data Scientist,"The development and execution of new machine learning predictive modeling algorithms, the coding\development of tools that use machine learning/predictive...",Allstate,"Charlotte, NC",Not available
"data analyst, Supply Chain (AI and Machine Learning), SSC –...","Working cross-functionally with other data scientists, statisticians, and business experts, this role is responsible for building mathematical and statistical...",Starbucks,"Seattle, WA",Not available
Associate Data Scientist,Associate Data Scientist. Establish strong knowledge of Customer Experience in the Health Care industry and Florida Blue available tools/Platforms to define...,Florida Blue,"Jacksonville, FL 32224 (Beach Haven area)",Not available
Research Analyst/Institutional Trader,Conducts analysis and research of investment products available to Financial advisors. The Reserach Analyst/Trader will handle the day to day portfolio...,Lincoln Investment,"Fort Washington, PA",Not available
Data Scientists,"$80,000 - $100,000 a year


                            SQL, Spark, R, Python, GitHub. 6+ years of industry work experience in data scientist projects. Analysis of large amounts of historical data, determining...",Intellibee Inc,"San Jose, CA","$80,000 - $100,000 a year"
Imaging Scientist I - Nuclear Medicine,Invicro seeks an individual with scientific or clinical imaging experience to manage various imaging studies....,Invicro,"Boston, MA 02210 (South Boston area)",Not available
"HBO Data Scientist, Content Science","The Data Scientist will work closely with engineering teams to ensure that their products and insights are properly moved into a production environment, where...",Time Warner,"New York, NY",Not available
Data Scientist - Summer Intern - University Students,"You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets....",McKinsey & Company,"Boston, MA",Not available
Data Scientist,"Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data....",DICK'S Sporting Goods,"Coraopolis, PA 15108",Not available
Quantitative Data Analyst - Minerva,"Minerva Analytics, the latest team to emerge from Cogo's proven incubator model, is seeking a Data Analyst to join our team....",Cogo Labs,"Cambridge, MA",Not available
Data Scientist - AWS Professional Services,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Amazon.com,United States,Not available
Data Analyst,Experienced with applying statistics and machine learning research and techniques to real-world data. Data visualization experience....,ProSight Specialty Insurance,"Morristown, NJ",Not available
Data Scientist - AWS Professional Services Oil & Gas,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Amazon.com,"Houston, TX",Not available
Data Scientist - Associate Director (#1 of 2),"Formulate integrated analytical approach to mine data sources, employ statistical methods and machine learning algorithms to discover actionable insights and...",Novartis,"East Hanover, NJ",Not available
"Data Scientist, Engineering","4 years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and...",Google,"New York, NY 10011 (Chelsea area)",Not available
Machine Learning Data Scientist (TS/SCI w/Poly),"Coverent is seeing a Senior Data Scientist to conduct hands-on work to drive machine learning in a group of subject matter experts, software engineers, and data...",Coverent,"McLean, VA",Not available
"Venture Manager, Innovation - Solaria Labs","$115,000 - $157,500 a year


                            Lead cross-functional teams of developers, designers, and data scientists to test and launch new business ventures....",Liberty Mutual,"Boston, MA 02116 (South End area)","$115,000 - $157,500 a year"
Data Scientist Senior - Quantitative Analytics,"Qualifying coursework may include-but is not limited to-data science, statistics, machine learning, optimization, numerical analysis, scientific programming,...",Freddie Mac,"McLean, VA 22102",Not available
Associate Scientist - Intermediate Synthesis Scale-Up Suppor...,"Optional benefits include health, dental, and a retirement savings plan. Data and information collection from batch execution....","Spectrix Analytical Services, LLC","New Brunswick, NJ",Not available
Data Scientist - Entry to Experienced Level,"Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,...",National Security Agency,"Fort Meade, MD","$96,970 - $148,967 a year"
Director Data Scientist,Work with other data scientists with a broad range of analytical expertise and subject matter experts to deliver data products and provide business insights...,Hearst Business Media Admin,"New York, NY",Not available
AI Chief Data Scientist - PS12747,"AI Chief Data Scientist. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members,...","Anthem, Inc.",United States,Not available
Data Scientist,3+ years experience in SQL as well as transforming data into insights with visualization tools like Tableau or Plotly....,American Eagle Outfitters,"Pittsburgh, PA",Not available
"Data Scientist Associate, Workforce Analytics","S/he will collaborate with HR Technology, Workforce Analytics Data Engineering, and other subject matter experts to build robust data pipelines, and will play a...",JP Morgan Chase,"Newark, DE 19713",Not available
Data Scientist - Intern/Coop,"Working experience in Cognos Analytics, Watson Analytics, Tableau, NOSQL Cloudant db, Java, JavaScript, SQL, NOSQL;...",IBM,United States,Not available
Data Scientist,"Apply SQL, data cleaning, visualization and clustering techniques to gain insight into and munge data sets for use in modeling....",ConnectiveRx,"Township of Randolph, NJ",Not available
Informatics Data Scientist,The Cigna Service Operations Business Intelligence & Analytics (SOBI&A) organization offers solutions that provide actionable insights to internal and external...,Cigna,"Bloomfield, CT 06002",Not available
Lead Data Scientist,"The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced...",Humana,"Louisville, KY 40229",Not available
Statistical Analyst I,"Medpace is a scientifically-driven, global, full-service clinical contract research organization (CRO) providing Phase I-IV clinical development services to the...",Medpace,"Cincinnati, OH 45212 (Pleasant Ridge area)",Not available
Development Scientist I,"This position offers opportunities to develop novel reagents, engage with customers, attend scientific conferences and learn from technically-and commercially...","New England Biolabs, Inc.","Ipswich, MA 01938",Not available
Data Scientist (TS/SCI w/Poly),"On this project, you’ll have the opportunity to demonstrate your intellectual agility by leading data collection and data analysis activities to produce key...",Coverent,"McLean, VA",Not available
Data Scientist,"Identify new machine learning and advanced analytics methodologies based on available data sets, and implement dynamic models/algorithms....",General Dynamics Mission Systems,"Chantilly, VA",Not available
"Statistical Research Programmer, Level 1","Ability to program using SAS, R, Python, or Stata for data management and analysis. Programmers are expected to acquire a basic understanding of the research...",RAND,United States,Not available
Lead Data Scientist - Procurement,"As a data scientist, you will work with business stakeholders to gather goals and outline requirements, translate into technical designs, coordinate with...",Unilever,"Englewood Cliffs, NJ",Not available
Junior Data Scientist,"Perform deep data analysis of large data sets to identify data patterns, trends and opportunities. Experience using statistical programming languages, machine...",COCC,"Southington, CT",Not available
Lead Data Scientist,"The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced...",Humana,"Louisville, KY 40229",Not available
"Data Scientist, People Analytics","Collaborate with the People Analytics Team, and their Data Scientists, Data Engineers and Data Viz Engineers to deploy and validate outputs....",WeWork,"New York, NY 10013 (Tribeca area)",Not available
Data Scientist,"Data Scientists are responsible for developing advanced analytics using a variety of statistical modeling and machine learning methods, algorithms and...",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",Not available
AI Principal Data Scientist - PS14902,"AI Principal Data Scientist. Experience working with data – manipulating data (with Python, R, MatLab, SAS, or similar) and also building analytical models with...","Anthem, Inc.",United States,Not available
"Data Scientist, Markets Research",Productize day-to-day analytics and insights support for Spotify’s Markets Operations team. Extensive experience manipulating and analyzing complex data with...,Spotify,"New York, NY 10011 (Chelsea area)",Not available
R&D Senior Data Scientist,"MSFT Azure Analytics, SAS Analytics, Google Analytics, Facebook Insights, etc. As a Senior Data Scientist, you will utilize your knowledge in Statistics,...",PepsiCo,"Barrington, IL 60010",Not available
Algorithm Developer (Machine Learning/Artificial Intelligenc...,"In Data Science, Machine Learning, Industrial Engineering, Software Engineering, Computer Engineering, Computer Science, or applicable engineering or science...","MTEQ, Inc.","Fort Belvoir, VA",Not available
Quality Control Scientist,Quality Control Scientist*. Provides data review of lab results as requested. Excellent written and verbal communication and data recording ability....,"Poly-Med, Inc.","Anderson, SC",Not available
Lead of Insights & Analysis/Data Scientist,"This hand-on position will lead a dynamic team analyzing large amounts of traditional and non-traditional datasets using predictive analytics, machine learning,...","The Travelers Companies, Inc.","Hartford, CT 06101 (North Meadows area)",Not available
Data Scientist - Journey Analytics,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",McKinsey & Company,"New York, NY 10022 (Midtown area)",Not available
Data Scientist,"If you require accessibility assistance applying for open positions in the US, please send an email with your request to CareersNA2@cognizant.com....",Cognizant,"New York, NY",Not available
"Data Scientist - Fraud Engineering, Algorithms, and Risk",We are seeking a data scientist with a drive to turn the huge amounts of data generated by these applications into insights that improve customer experience and...,Apple,"Santa Clara Valley, CA",Not available
Data Scientist,"The Data Scientist works on a team using statistical, mathematical, and predictive data models to bring insights and answers to complex business questions....",Neal Analytics,"Charlotte, NC",$60 - $65 an hour
Principal Data Scientist,Lead team of 2-3 Data Scientists on the development and delivery of predictive analytics solutions to drive behavior change or customer experience across...,Aetna,"New York, NY 10016 (Gramercy area)",Not available
Data Scientist,"Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",Central Intelligence Agency,"Washington, DC","$67,968 - $126,062 a year"
Data Scientist - AI - San Francisco,The team is fantastic for setting you will be working alongside other scientists who have a strong passion for machine learning. Analyze customer data....,Lennon Wright Associates,"San Francisco, CA","$100,000 - $150,000 a year"
Data Scientist (machine learning),"The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working...",The New York Times,"New York, NY 10036",Not available
Clinical Analytics Data Scientist - Remote,"We are seeking a talented individual for a Data Scientist I who is mainly responsible for responding to questions from internal clients, and providing insights...",HMS,Texas,Not available
Testing Data Analyst- R & D,Work together with battery scientists and engineers on summarizing data and preparing test reports for the customer....,"Farasis Energy, Inc.","Hayward, CA 94545 (Glen Eden area)",Not available
Data Scientist 1,"Sound background in theoretical and applied machine learning. Manage analytical projects from data exploration, model building, performance evaluation, through...",Yale University,"New Haven, CT 06510 (Downtown area)",Not available
Undergraduate Internship/Co-op Program - Data Scientist,"As a Data Scientist Undergraduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision...",Central Intelligence Agency,"Washington, DC",$21.93 - $26.43 an hour
Data Scientist - Intern,"Through our data analytics, customer insights, predictive modeling, and consulting services, we deliver the analytics and insights companies need to stay ahead....",Equifax,"Alpharetta, GA 30005",Not available
Data Scientist,"Hallmark’s Data Scientist perform data analyses to derive insight, patterns and correlations from Hallmark's big data that includes vast amounts of consumer...",Hallmark,"Kansas City, MO 64108 (Crown Center area)",Not available
Machine Learning Data Associate,The ideal Machine Learning Data Associate:. We are looking for a Machine Learning Data Associate to join our Information Data Operations (IDO) team located in...,Amazon.com,"Santa Barbara, CA",Not available
Research Data Scientist,"As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models....",Amazon.com,"Cambridge, MA",Not available
"Senior Analyst, Data Science","Degree (in Statistics, Mathematics, Economics, Actuarial Science or other scientific field of study) and no professional experience, a Master’s degree ...",Liberty Mutual,"Boston, MA 02116 (South End area)","$75,000 - $115,000 a year"
VP of Data Science,Expertise in distributed systems environments and applying Machine Learning and Artificial Intelligence. Experience as a data scientist delivering models within...,Ademeni,"New York, NY","$200,000 - $250,000 a year"
Data Scientist,The Data Scientist role blends advanced analytics with business problem solving to delivering a stream of a project with minimal oversight....,Zurich North America,"Jersey City, NJ",Not available
Research Scientist I - Chemical Development,"Ability to conduct literature searches and extract relevant data. Research Scientist I – Chemical Development in Albany, NY....",Albany Molecular Research,"Albany, NY 12203 (Campus Area-University District area)",Not available
Senior Data Analyst,"$100,000 - $140,000 a year


                            We are a well funded team of elite developers, data scientists, and business people who truly care about making a difference in the world, located in the...",Blue Owl,"San Francisco, CA","$100,000 - $140,000 a year"
"Data Scientist - NLP, Deep Learning, algorithm development",Join a nimble team of experienced data scientists at Happify Health working on one of the next frontiers of innovation in digital therapeutics and mobile health...,Happify Health,"New York, NY 10003 (Greenwich Village area)",Not available
"Senior Data Scientist, Claims Analytics - Global Risk Soluti...","$92,000 - $167,300 a year


                            Degree (in Statistics, Mathematics, Economics, Actuarial Science or other scientific field of study) and 0-4 year of relevant experience, a Master’s degree ...",Liberty Mutual,"Boston, MA 02116 (South End area)","$92,000 - $167,300 a year"
Entry Level Research Analyst,"$13 an hour


                            We are currently looking to fill several full-time positions as an Entry Level Research Analyst in the Tamarac area. No experience is necessary....",Master Trace,"Tamarac, FL",$13 an hour
Data Scientist Entry Level/ Early Career,"0-2 years’ practical experience with SAS, ETL, Data Processing, Database Programming and Data Analytics or related education....",DXC,"New Orleans, LA 70121",Not available
"Research Analyst, Economist/Data Scientist, Global Asset All...",Proficiency with cross-sectional and panel data econometrics and machine learning methods for economics/finance....,Fidelity Investments,"Boston, MA 02212 (Central area)",Not available
Lead Data Scientist,Lead team of 2-3 Data Scientists on the development and delivery of predictive analytics solutions to drive behavior change or customer experience across...,Aetna,"New York, NY 10016 (Gramercy area)",Not available
Data Scientist - Richmond Virginia area - must be local or b...,O Must have experience in designing and implementing machine learning or statistical models for big data analytics using Spark-ML / Tensorflow....,Capgemini,"Bloomfield, NJ",Not available
"Research Scientist, Machine Learning and Intelligence","From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...",Google,"New York, NY 10011 (Chelsea area)",Not available
Data Scientist,"They will use data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights....","Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",Not available
Data Scientist (Python/R) – People Analytics - USDC,"Data Scientist (Python/R) – People Analytics - USDC. As a Deloitte Data Scientist, you will use data and analytics methods and technologies to help clients...",Deloitte,"Dallas, TX 75230 (North Dallas area)",Not available
Data Scientist - Amazon.com Delivery Experience,"As a Data Scientist for Amazon.com’s Delivery Experience team, you will manage customer behavioral and conversion datasets and leverage your statistical and...",Amazon.com,"Seattle, WA",Not available
Data Scientist Summer Intern,"Proficient knowledge of R or Python, SQL. Comfortable with quantitative analysis, statistical techniques, data mining....",WeWork,"New York, NY",Not available
Research Scientist,E) Illumina data analysis for targeted sequencing applications. We are looking for a Research Scientist to develop new genetic tests using HLS-CATCH technology....,Sage Science,"Beverly, MA 01915",Not available
Data Scientist - Risk Analyst,"Manage project timelines and milestones across line of business, project management, technology, legal, compliance, and fair lending to advance project from...",Paypal,"Wilmington, DE",Not available
Jr. Data Analyst/ Data Scientist,"Junior Data Analyst/ Scientist (Big Data & Analytics)*. We are looking for a Junior Data Analyst/ Scientist with good understanding of statistics, data mining...",Karwell Technologiies Inc,"South Plainfield, NJ",Not available
Data Scientist,"Construction of statistical models via machine learning, deep learning and traditional techniques. Degree in quantitative field (preferably statistics, data...",Vaco,"Richmond, VA","$80,000 - $90,000 a year"
Data Scientist - Ingenuity,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",McKinsey & Company,"Waltham, MA",Not available
Data Scientist,Collaborate with other research scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques....,Paypal,"San Jose, CA",Not available
"Data Scientist, Cash App","A graduate degree in machine learning, computer science, artificial intelligence, applied mathematics, statistics, physics, or a related technical field....",Square,"San Francisco, CA 94103 (South Of Market area)",Not available
Data Scientist and Visual Insights Storyteller,"Clear, concise communication is essential for this role, as the Insights Storyteller will collaborate with leadership and a growing team of data scientists,...",Equifax,"Atlanta, GA 30309 (Midtown area)",Not available
Data Scientist II (Forecasting & Scheduling),"2-5 years of experience applying descriptive statistics, machine learning, building predictive models and visualization to solve real-world problems....",Grubhub,Remote,Not available
Data Scientist - Remote,"Developing and validating statistical and machine learning models, including predictive analytics and anomaly detection models, to identify potential fraud,...",Adaxa Technologies,"Fort Lauderdale, FL",Not available
Intern opportunities for PhD students: Data & Applied Scienc...,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Microsoft,United States,Not available
"Data Scientist, Work Environment Analytics","Extensive background in data mining, statistical analysis, machine learning, and predictive modeling to drive insights from data....",Genentech,"South San Francisco, CA",Not available
Chief Data Scientist,Is looking for a Chief Data Scientist to act as a senior architect in leveraging the company’s core competencies in data science and technology for future...,DSFederal Inc,"Rockville, MD 20850",Not available
"Analyst,Data Management Quant Analysis","Data Management and Quantitative Analysis - IC1 Under direct guidance, works with internal and external datasets and client reference data and provides analysis...",BNY Mellon,"New York, NY",Not available
Senior Data Scientist,"If you love the challenge of applying these skills to creating innovative solutions, we’d like to talk to you....",Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available
Junior Data Scientist,"You will work closely with our data scientists, data engineers, and other teams to create machine learning models for patient-level prediction....",Jvion,"Atlanta, GA","$60,000 - $80,000 a year"
Data Scientist,"Bachelor’s Degree plus 2 years of experience in data analytics, or Master’s Degree plus 1 year of experience in data analytics, or PhD....",Capital One,"McLean, VA 22107",Not available
Machine Learning Data Scientist,"Ensure data quality throughout all stages of acquisition and processing, including data sourcing/collection, ground truth generation, normalization and...",Amazon.com,"East Palo Alto, CA",Not available
Junior Data Scientist,"You have worked with visualization and machine learning libraries in either R or Python. Some background in machine learning applications, big data architecture...",Dow Jones,"New York, NY 10176 (Murray Hill area)",Not available
Pricing Operations Specialist,Consult with Revenue Modeling Data Scientists to prioritize model development. This person will work with StubHub’s Revenue Modeling Data Scientists to design...,eBay Inc.,"San Francisco, CA",Not available
"Data Scientist, People Analytics",We are looking for a Data Scientist to join the Northrop Grumman Human Capital Analytics team where we lead the people and talent analytics function....,Northrop Grumman,"Falls Church, VA 22041",Not available
"Data Scientist, CS Quality","Experience in data mining, SQL, ETL, etc. and using databases in a business environment with large-scale, complex datasets....",Amazon.com,"Seattle, WA",Not available
Data Scientist,"We use data visualization, statistical analysis, predictive analytics and machine learning to solve business problems and drive efficiency through the...",Plated,"New York, NY",Not available
"Data Scientist, Keying and Linking",Function - Data and Analytics. Design and implement project plans and processing specifications. Lead communications with customers to identify data sources and...,Equifax,"Alpharetta, GA 30005",Not available
Head of Data - Organization Practice,"You'll also develop the capabilities to securely ingest, store and manage data, and drive efforts to build a data culture....",McKinsey & Company,"Boston, MA",Not available
